@relation occ_all

@attribute DayOfWeek numeric
@attribute HourOfDay numeric
@attribute RealPow_Mean numeric
@attribute RealPow_LastMean numeric
@attribute RealPow_Std numeric
@attribute RealPow_Median numeric
@attribute RealPow_Max numeric
@attribute RealPow_Min numeric
@attribute RealPow_MeanDeriv numeric
@attribute RealPow_StdDeriv numeric
@attribute RealPow_MaxDeriv numeric
@attribute RealPow_Kurt numeric
@attribute RealPow_Iqr numeric
@attribute RealPow_Mcr numeric
@attribute RealPow_FreqPeak numeric
@attribute RealPow_FreqEntropy numeric
@attribute RealPow_FreqEnergy numeric
@attribute RealPow_FreqLastEnergy numeric
@attribute ReactPow_Mean numeric
@attribute ReactPow_LastMean numeric
@attribute ReactPow_Std numeric
@attribute ReactPow_Median numeric
@attribute ReactPow_Max numeric
@attribute ReactPow_Min numeric
@attribute ReactPow_MeanDeriv numeric
@attribute ReactPow_StdDeriv numeric
@attribute ReactPow_MaxDeriv numeric
@attribute ReactPow_Kurt numeric
@attribute ReactPow_Iqr numeric
@attribute ReactPow_Mcr numeric
@attribute ReactPow_FreqPeak numeric
@attribute ReactPow_FreqEntropy numeric
@attribute ReactPow_FreqEnergy numeric
@attribute ReactPow_FreqLastEnergy numeric
@attribute Power_Cluster1 numeric
@attribute Power_Cluster2 numeric
@attribute Power_Cluster4 numeric
@attribute Power_Cluster5 numeric
@attribute Power_Cluster6 numeric
@attribute Power_Cluster7 numeric
@attribute Power_Cluster8 numeric
@attribute Power_Cluster9 numeric
@attribute Power_Cluster10 numeric
@attribute Power_Cluster13 numeric
@attribute Power_Cluster14 numeric
@attribute Power_Cluster15 numeric
@attribute Power_Cluster16 numeric
@attribute Power_Cluster17 numeric
@attribute Power_Cluster18 numeric
@attribute Power_Cluster19 numeric
@attribute Water_Mean numeric
@attribute Water_LastMean numeric
@attribute Water_Std numeric
@attribute Water_Median numeric
@attribute Water_Max numeric
@attribute Water_Min numeric
@attribute Water_MeanDeriv numeric
@attribute Water_StdDeriv numeric
@attribute Water_MaxDeriv numeric
@attribute Water_Kurt numeric
@attribute Water_Iqr numeric
@attribute Water_Mcr numeric
@attribute Water_FreqPeak numeric
@attribute Water_FreqEntropy numeric
@attribute Water_FreqEnergy numeric
@attribute Water_FreqLastEnergy numeric
@attribute Water_Cluster1 numeric
@attribute Water_Cluster2 numeric
@attribute Water_Cluster3 numeric
@attribute Water_Cluster4 numeric
@attribute Water_Cluster6 numeric
@attribute Water_Cluster7 numeric
@attribute Water_Cluster8 numeric
@attribute Water_Cluster9 numeric
@attribute label_num {0,1,2,3}

@data
2,1,1746.394161,1635.647273,121.266869,1712,2062,1567,7.010989,41.540509,483,5.153139,20,0.010989,0.001946,0.38691,839685206.000001,741658919.000001,779.804745,775.090545,78.044673,796.58,1264,0,10.624982,94.277924,1264,48.323634,12.49,0.018315,0.001946,0.347849,168280985.5152,166287028.8692,0,33,0,0,2,0,0,0,0,0,238,0,0,0,1,0,0.538192,0.321133,5.782606,0.735939,14.87811,-23.26941,6.533264,5.293707,28.997743,3.296562,7.399137,0.501672,0.114786,3.700162,10085.014875,9094.566416,0,300,0,0,0,0,0,0,3
2,1,1764.152727,1746.394161,116.502805,1716,2049,1696,3.667883,20.395609,328,4.720955,15,0.00365,0.001946,0.414543,859583558.000001,839685206.000001,772.127927,779.804745,47.800161,792.07,799.25,655.29,1.096058,7.979429,129.73,4.700483,3.71,0.00365,0.001946,0.329566,164575972.8098,168280985.5152,0,42,0,0,0,0,0,0,0,0,233,0,0,0,0,0,0.080293,0.538192,5.326595,0.437602,13.40633,-14.67814,5.910495,4.10383,19.174516,2.775235,7.448718,0.5,0.291829,3.874759,8343.451074,10085.014875,0,295,0,0,0,0,0,0,3
2,1,1926.231047,1764.152727,476.925537,1713,3438,1695,15.076087,119.041893,1696,7.968188,329.25,0.007246,0.001946,0.47262,1090549794,859583558.000001,754.25787,772.127927,103.693218,784.27,2135.6,633.32,12.141993,114.541322,1458.72,114.900419,106.13,0.014493,0.001946,0.449452,160554297.0871,164575972.8098,0,76,0,0,0,0,0,0,0,0,200,0,1,0,0,0,1.997532,0.080293,6.20283,2.426431,21.04284,-15.07542,7.008898,5.322195,28.241913,3.136447,7.657415,0.5,0.001946,3.597922,12573.700341,8343.451074,0,297,0,0,0,0,0,0,3
2,2,1687.050179,1926.231047,24.92848,1684,1733,1651,2.298561,5.251171,29,1.417503,48,0.003597,0.001946,0.340457,794245345,1090549794,787.423871,754.25787,5.285809,787.95,792.11,722.09,1.227842,6.502141,68.87,92.69931,3.17,0.068345,0.001946,0.340457,172997909.6252,160554297.0871,0,0,0,0,0,0,0,0,0,0,279,0,0,0,0,0,3.990066,1.997532,5.412259,3.857992,19.41085,-12.20988,6.375327,4.542897,22.273529,2.840624,7.994428,0.506757,0.001946,2.353443,13399.019447,12573.700341,0,297,0,0,0,0,0,0,3
2,2,1749.442446,1687.050179,149.739709,1658,1996,1636,4.490975,24.917489,310,1.793263,322,0.00722,0.001946,0.327782,857043475,794245345,747.93,787.423871,62.29342,787.2,795.84,642.96,1.885162,10.729063,134.25,1.803798,135.19,0.00722,0.001946,0.411041,156587891.4334,172997909.6252,0,81,0,0,0,0,0,0,0,0,197,0,0,0,0,0,3.201841,3.990066,4.997365,3.40045,19.24994,-10.46003,5.930742,4.179297,20.801607,2.938852,6.483167,0.542088,0.001946,2.598336,10472.207248,13399.019447,0,298,0,0,0,0,0,0,3
2,2,1645.284698,1749.442446,8.409439,1645,1667,1628,2.642857,5.679077,29,2.987303,11,0.142857,0.001946,0.38691,760676049.000002,857043475,781.093025,747.93,6.215687,779.46,789.37,717.91,1.070786,5.759027,60.69,43.068357,8.165,0.010714,0.001946,0.38691,171450691.845,156587891.4334,0,0,0,0,0,0,0,0,0,0,281,0,0,0,0,0,1.359378,3.201841,5.248174,1.31239,17.77685,-11.573,5.815663,4.215239,27.678707,2.99416,6.780707,0.498328,0.177043,3.938627,8789.829413,10472.207248,0,300,0,0,0,0,0,0,3
2,2,1627.554348,1645.284698,144.539572,1533,1865,1506,5.378182,29.866532,348,1.815406,321,0.010909,0.001946,0.343406,736850765,760676049.000002,758.033478,781.093025,64.487977,798.34,848.37,651.08,2.597382,13.691468,144.85,1.920357,141.21,0.021818,0.001946,0.431491,159737314.439,171450691.845,0,78,0,0,0,0,0,0,0,0,198,0,0,0,0,0,130.399528,1.359378,2200.347547,2.584813,37794.4,-11.17419,262.711349,3110.721747,37786.645484,293.000273,6.909653,0.006803,0.001946,3.300826,1428425812.773741,8789.829413,0,295,0,0,0,0,0,0,3
2,2,1523.463768,1627.554348,7.784048,1522,1544,1506,2.247273,5.122295,26,2.963163,11,0.134545,0.001946,0.385776,640596614.000001,736850765,798.508261,758.033478,2.301909,798.97,803.09,793.75,0.445927,1.08908,6.66,2.133807,3.325,0.076364,0.001946,0.364407,175983319.3446,159737314.439,0,0,0,0,0,0,0,0,0,0,276,0,0,0,0,0,0.060553,130.399528,5.688592,0.238576,16.38357,-15.26808,6.176209,4.483287,22.42586,2.906913,7.376451,0.481605,0.480545,3.611124,9676.763047,1428425812.773741,0,300,0,0,0,0,0,0,3
2,2,1624.413919,1523.463768,141.573955,1538,1866,1510,4.900735,25.189343,342,1.928658,314,0.007353,0.001946,0.376048,725822464.999999,640596614.000001,757.490366,798.508261,65.030535,797.57,814.1,645.7,1.834522,11.218657,138.79,1.959359,139.2275,0.007353,0.001946,0.408256,157795401.7929,175983319.3446,0,76,0,0,0,0,0,0,0,0,197,0,0,0,0,0,1.379995,0.060553,5.687869,1.212623,18.96622,-14.98849,6.215417,4.728325,23.021628,3.07916,7.514458,0.448161,0.317121,3.618296,10244.520104,9676.763047,0,300,0,0,0,0,0,0,3
2,2,1635.882562,1624.413919,131.773956,1570,1910,1554,3.85,15.153184,173,3.051237,20.5,0.003571,0.001946,0.405873,756849428.999999,725822464.999999,768.151922,757.490366,60.852931,799.55,827.84,614.04,2.443464,9.70108,103.83,3.083959,4.06,0.017857,0.001946,0.327782,166842984.5059,157795401.7929,0,58,0,0,0,0,0,0,0,0,223,0,0,0,0,0,1.232391,1.379995,5.525197,1.371565,17.05668,-12.99975,6.468633,4.836793,22.302503,2.796488,8.269091,0.491525,0.001946,3.858489,9455.263112,10244.520104,0,296,0,0,0,0,0,0,3
