@relation occ_all

@attribute DayOfWeek numeric
@attribute HourOfDay numeric
@attribute RealPow_Mean numeric
@attribute RealPow_LastMean numeric
@attribute RealPow_Std numeric
@attribute RealPow_Median numeric
@attribute RealPow_Max numeric
@attribute RealPow_Min numeric
@attribute RealPow_MeanDeriv numeric
@attribute RealPow_StdDeriv numeric
@attribute RealPow_MaxDeriv numeric
@attribute RealPow_Kurt numeric
@attribute RealPow_Iqr numeric
@attribute RealPow_Mcr numeric
@attribute RealPow_FreqPeak numeric
@attribute RealPow_FreqEntropy numeric
@attribute RealPow_FreqEnergy numeric
@attribute RealPow_FreqLastEnergy numeric
@attribute ReactPow_Mean numeric
@attribute ReactPow_LastMean numeric
@attribute ReactPow_Std numeric
@attribute ReactPow_Median numeric
@attribute ReactPow_Max numeric
@attribute ReactPow_Min numeric
@attribute ReactPow_MeanDeriv numeric
@attribute ReactPow_StdDeriv numeric
@attribute ReactPow_MaxDeriv numeric
@attribute ReactPow_Kurt numeric
@attribute ReactPow_Iqr numeric
@attribute ReactPow_Mcr numeric
@attribute ReactPow_FreqPeak numeric
@attribute ReactPow_FreqEntropy numeric
@attribute ReactPow_FreqEnergy numeric
@attribute ReactPow_FreqLastEnergy numeric
@attribute Power_Cluster1 numeric
@attribute Power_Cluster2 numeric
@attribute Power_Cluster4 numeric
@attribute Power_Cluster5 numeric
@attribute Power_Cluster6 numeric
@attribute Power_Cluster7 numeric
@attribute Power_Cluster8 numeric
@attribute Power_Cluster9 numeric
@attribute Power_Cluster10 numeric
@attribute Power_Cluster12 numeric
@attribute Power_Cluster13 numeric
@attribute Power_Cluster14 numeric
@attribute Power_Cluster15 numeric
@attribute Power_Cluster16 numeric
@attribute Power_Cluster17 numeric
@attribute Power_Cluster18 numeric
@attribute Power_Cluster19 numeric
@attribute Water_Mean numeric
@attribute Water_LastMean numeric
@attribute Water_Std numeric
@attribute Water_Median numeric
@attribute Water_Max numeric
@attribute Water_Min numeric
@attribute Water_MeanDeriv numeric
@attribute Water_StdDeriv numeric
@attribute Water_MaxDeriv numeric
@attribute Water_Kurt numeric
@attribute Water_Iqr numeric
@attribute Water_Mcr numeric
@attribute Water_FreqPeak numeric
@attribute Water_FreqEntropy numeric
@attribute Water_FreqEnergy numeric
@attribute Water_FreqLastEnergy numeric
@attribute Water_Cluster1 numeric
@attribute Water_Cluster2 numeric
@attribute Water_Cluster3 numeric
@attribute Water_Cluster4 numeric
@attribute Water_Cluster6 numeric
@attribute Water_Cluster7 numeric
@attribute Water_Cluster8 numeric
@attribute Water_Cluster9 numeric
@attribute label_num {0,1,2,3}

@data
2,0,1634.472727,1643.017857,7.678384,1640,1640,1624,0.296296,2.177324,16,1.422515,16,0.018519,0.015152,2.798565,146935744,151278311,896.433818,893.74875,0.019196,896.42,896.46,896.42,0.000741,0.005443,0.04,1.422515,0.04,0.018519,0.015152,2.735607,44197647.4908,44750979.6833,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,3.518525,3.306655,6.064935,4.186396,15.31781,-8.769092,6.569047,4.361346,19.483621,2.09062,9.18619,0.474576,0.181818,3.827798,2913.023353,2352.513671,0,60,0,0,0,0,0,0,3
2,0,1628.890909,1634.472727,3.803861,1629,1633,1621,0.462963,1.85017,10,2.756753,2,0.055556,0.015152,2.810678,145931489,146935744,892.663091,896.433818,2.055295,892.03,896.46,889.47,0.225,0.859859,4.94,2.220851,3.11,0.037037,0.015152,2.810678,43826834.7717,44197647.4908,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,1.296436,3.518525,5.260808,0.396844,13.33388,-11.98409,5.960101,4.303836,16.746602,2.661614,7.619201,0.525424,0.060606,3.937474,1733.734378,2913.023353,0,60,0,0,0,0,0,0,3
2,0,1634.454545,1628.890909,3.740757,1633,1639,1629,0.259259,1.4033,10,1.358549,8,0.018519,0.015152,2.773883,146930047,145931489,893.287818,892.663091,1.232325,894.11,894.63,891.52,0.066111,0.362228,2.59,1.177179,2.52,0.018519,0.015152,2.735607,43888053.9419,43826834.7717,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,1.496988,1.296436,6.168764,1.984462,18.2581,-12.66057,7.05046,5.458743,21.75045,3.196216,7.421729,0.508475,0.30303,3.851385,2379.623704,1733.734378,0,60,0,0,0,0,0,0,3
2,0,1588.890909,1634.454545,37.571992,1562,1643,1535,5.37037,18.995825,93,1.475507,77,0.055556,0.015152,2.675595,138927817,146930047,867.632727,893.287818,29.165787,849.38,1030,848.4,7.475556,32.614758,181.6,18.348764,42.6,0.074074,0.030303,2.580427,41449194.948,43888053.9419,0,0,1,0,0,0,0,0,0,0,0,54,0,0,0,0,0,1.54734,1.496988,5.513293,2.064006,10.79591,-11.35141,6.935639,4.94544,16.947981,2.295279,7.997964,0.568966,0.363636,3.640299,1904.252247,2379.623704,0,59,0,0,0,0,0,0,3
2,0,1704.763636,1588.890909,418.847049,1546,3013,1535,27.37037,189.528839,1393,8.988333,74,0.018519,0.045455,3.135874,169315422,138927817,880.020364,867.632727,17.58309,870.03,932.5,869.18,1.185185,7.158101,51.63,7.543496,11.18,0.018519,0.015152,2.810678,42610666.1352,41449194.948,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,47.314624,1.54734,8.869936,48.39386,64.8331,28.81723,11.257979,7.593102,31.01258,2.439504,11.062575,0.59322,0.015152,3.429209,138962.290788,1904.252247,0,60,0,0,0,0,0,0,3
2,0,1907.054545,1704.763636,550.875748,1633,3013,1624,27.185185,182.891665,1345,3.251153,35,0.018519,0.030303,2.539705,216414198,169315422,897.021636,880.020364,20.009264,886.27,941.02,886.07,1.274259,7.146423,51.89,3.379479,4.46,0.018519,0.015152,2.748179,44277249.8997,42610666.1352,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,6.158742,47.314624,11.563838,3.356703,51.18474,-6.236344,6.645354,5.483731,36.64133,9.436922,7.984235,0.440678,0.090909,3.655617,10165.4256,138962.290788,0,60,0,0,0,0,0,0,3
2,0,1861.892857,1907.054545,137.857855,1939,1956,1633,6.290909,39.602035,293,2.091533,313.5,0.018182,0.015152,2.671751,195177384,216414198,781.92375,897.021636,64.347895,742.76,887.29,739.15,2.777636,18.397471,136.2,2.091159,145.865,0.018182,0.030303,2.834268,34466401.8843,44277249.8997,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,2.905728,6.158742,6.335915,2.165173,20.46127,-9.494457,7.224213,5.966563,25.783461,3.343918,6.872552,0.54386,0.348485,4.140292,2777.906281,10165.4256,0,58,0,0,0,0,0,0,3
2,0,1938.357143,1861.892857,7.384083,1944,1946,1929,0.654545,2.71633,16,1.267069,15,0.054545,0.015152,2.90331,210407790,195177384,749.477143,781.92375,3.760681,748.17,753.66,742.76,0.198182,0.665129,2.96,1.982323,5.49,0.018182,0.015152,2.90331,31456873.159,34466401.8843,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,4.19798,2.905728,5.280462,4.668233,17.36326,-10.2499,6.110493,4.663174,22.48732,3.529927,5.283992,0.581818,0.015152,3.801085,2520.470191,2777.906281,0,56,0,0,0,0,0,0,3
2,0,1928.178571,1938.357143,299.099868,1772,2444,1621,33.036364,145.544567,809,2.341351,167,0.054545,0.015152,2.421486,213121206,210407790,959.405,749.477143,209.655679,867.61,1329.1,753.66,18.934,86.642833,461.95,2.501114,24.18,0.036364,0.015152,2.333581,53963198.121,31456873.159,0,0,0,0,13,0,0,0,0,0,0,43,0,0,0,0,0,3.985779,4.19798,5.921248,3.8341,19.42931,-8.382867,6.489023,5.131044,22.050696,2.906718,7.608275,0.525424,0.121212,3.827796,3021.795314,2520.470191,0,60,0,0,0,0,0,0,3
2,0,1725.910714,1928.178571,27.151613,1711,1778,1698,2.436364,11.014744,78,2.031876,51,0.018182,0.015152,2.941414,166851543,213121206,838.413036,959.405,16.863875,827.95,865.75,826.12,0.758,4.297876,31.68,1.912064,36.02,0.018182,0.015152,2.921751,39380080.8987,53963198.121,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,1.589319,3.985779,5.033312,1.489932,13.15137,-7.072181,6.386013,4.180013,17.521426,2.3778,6.178022,0.576271,0.090909,3.827796,1646.275646,3021.795314,0,60,0,0,0,0,0,0,3
2,0,1703.092593,1725.910714,25.904956,1697,1778,1679,4.150943,13.128648,72,5.70049,16,0.056604,0.015152,2.738094,156663883,166851543,847.816481,838.413036,8.391655,850.23,854.42,827.72,1.121887,3.841666,23.38,3.805813,5.16,0.056604,0.015152,2.671165,38818542.7117,39380080.8987,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,30.198048,1.589319,21.163218,38.89908,71.26996,-6.793761,9.580516,8.033318,37.64319,1.949038,39.165961,0.155172,0.015152,2.007523,79780.547677,1646.275646,0,59,0,0,0,0,0,0,3
2,0,1759.509091,1703.092593,53.640737,1769,1862,1687,9.240741,29.212258,175,2.269762,82.5,0.018519,0.015152,2.731636,170428349,156663883,867.351091,847.816481,16.102679,869.42,919.59,849.91,2.74537,10.149584,50.41,6.647741,22.24,0.018519,0.015152,2.810678,41390387.3181,38818542.7117,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,18.562125,30.198048,22.093266,5.692999,64.46911,-9.952372,6.576174,6.41621,38.396618,1.759271,38.377708,0.016949,0.015152,2.146084,49471.781295,79780.547677,0,60,0,0,0,0,0,0,3
